Age,Date,Census21 population,ONS population,NIMS population,First doses by midpoint,Second doses completed 21 days before midpoint,Third dose completed 21 days before midpoint
80+ ,wk 2-5,"2,798,300","2,870,348","2,952,315","2,820,757","2,801,149","2,685,455"
80+ ,wk 3-6,"2,798,300","2,870,348","2,952,315","2,820,853","2,801,494","2,689,828"
80+ ,wk 4-7,"2,798,300","2,870,348","2,952,315","2,820,981","2,801,753","2,692,144"
80+ ,wk 5-8,"2,798,300","2,870,348","2,952,315","2,821,079","2,802,030","2,694,054"
80+ ,wk 6-9,"2,798,300","2,870,348","2,952,315","2,821,174","2,802,266","2,695,620"
80+ ,wk 7-10,"2,798,300","2,870,348","2,952,315","2,821,312","2,802,450","2,697,095"
80+ ,wk 8-11,"2,798,300","2,870,348","2,952,315","2,821,480","2,802,612","2,698,272"
Under 18 ,wk 32-35,"11,631,640","12,120,136","9,437,192","173,827","23,714",8
Under 18 ,wk 33-36,"11,631,640","12,120,136","9,437,192","282,109","25,557",8
Under 18 ,wk 34-37,"11,631,640","12,120,136","9,437,192","346,213","27,473",9
Under 18 ,wk 35-38,"11,631,640","12,120,136","9,437,192","372,849","29,432",10
Under 18 ,wk 36-39,"11,631,640","12,120,136","9,437,192","405,903","30,850",11
Under 18 ,wk 37-40,"11,631,640","12,120,136","9,437,192","524,647","32,045",14
Under 18 ,wk 38-41,"11,631,640","12,120,136","9,437,192","672,968","33,555",23
Under 18 ,wk 39-42,"11,631,640","12,120,136","9,437,192","845,042","34,867",52
Under 18 ,wk 40-43,"11,631,640","12,120,136","9,437,192","1,042,031","36,331",112
Under 18 ,wk 41-44,"11,631,640","12,120,136","9,437,192","1,240,197","39,475",181
Under 18 ,wk 42-45,"11,631,640","12,120,136","9,437,192","1,451,463","44,094",317
Under 18 ,wk 43-46,"11,631,640","12,120,136","9,437,192","1,595,610","50,747",538
Under 18 ,wk 44-47,"11,631,640","12,120,136","9,437,192","1,683,114","56,633",824
Under 18 ,wk 45-48,"11,631,640","12,120,136","9,437,192","1,757,618","63,964",1560
Under 18 ,wk 46-49,"11,631,640","12,120,136","9,437,192","1,816,306","71,203",2495
